"x","y","year","PM10","NO2"
259500,669500,2013,11.67174,15.10224
259500,669500,2014,11.12213,15.31459
259500,669500,2015,9.80892,14.08941
259500,669500,2016,10.23133,14.93611
259500,669500,2017,9.984793,13.55481
260500,669500,2012,11.52336,20.33346
260500,669500,2013,11.93334,17.98039
260500,669500,2014,11.43584,18.8433
260500,669500,2015,10.06492,16.95254
260500,669500,2016,10.41136,17.81437
260500,669500,2017,10.04953,15.99263
261500,669500,2012,11.17071,17.71206
261500,669500,2013,11.53069,15.93568
261500,669500,2014,11.00956,15.93938
261500,669500,2015,9.711782,14.79387
261500,669500,2016,10.15907,15.8006
261500,669500,2017,9.815116,13.90615
262500,669500,2012,11.45759,17.85712
262500,669500,2013,11.82451,16.09839
262500,669500,2014,11.33702,16.15906
262500,669500,2015,10.05119,14.8596
262500,669500,2016,10.47068,15.99629
262500,669500,2017,10.12081,14.12523
263500,669500,2012,11.87301,15.26244
263500,669500,2013,11.64441,13.69597
263500,669500,2014,11.12093,13.85412
263500,669500,2015,9.848326,12.70489
263500,669500,2016,10.40325,13.7247
263500,669500,2017,10.18653,12.33379
264500,669500,2012,11.21547,14.92229
264500,669500,2013,11.45243,13.36499
264500,669500,2014,10.96123,13.74204
264500,669500,2015,9.670135,12.56249
264500,669500,2016,10.21796,13.63738
264500,669500,2017,9.975442,12.1005
265500,669500,2012,11.21563,16.45606
265500,669500,2013,11.8222,15.1458
265500,669500,2014,11.39615,16.00092
265500,669500,2015,10.02047,14.28086
265500,669500,2016,10.49558,15.58779
265500,669500,2017,10.33987,13.99724
266500,669500,2012,11.7289,17.37967
266500,669500,2013,13.27045,18.19979
266500,669500,2014,12.93954,19.66839
266500,669500,2015,11.18044,14.72968
266500,669500,2016,10.38156,16.17723
266500,669500,2017,10.14089,14.33833
267500,669500,2012,10.65617,14.76684
267500,669500,2013,11.17779,13.8813
267500,669500,2014,10.75538,14.46381
267500,669500,2015,9.375437,12.84614
267500,669500,2016,9.828541,14.17877
267500,669500,2017,9.58563,12.35304
268500,669500,2012,11.08037,15.9223
268500,669500,2013,11.53089,14.68009
268500,669500,2014,11.18598,15.24962
268500,669500,2015,9.867533,13.94797
268500,669500,2016,10.18486,15.40315
268500,669500,2017,9.884809,13.29506
269500,669500,2012,10.47777,14.05187
269500,669500,2013,10.85471,12.82635
269500,669500,2014,10.4298,13.45454
269500,669500,2015,9.123549,12.23226
269500,669500,2016,9.627851,13.64042
269500,669500,2017,9.323586,11.44547
250500,668500,2012,10.73064,14.68202
250500,668500,2013,11.00515,12.16484
250500,668500,2014,10.61807,12.65323
250500,668500,2015,9.097897,11.77588
250500,668500,2016,9.516449,12.80758
250500,668500,2017,8.999996,10.50594
251500,668500,2012,11.32007,16.85307
251500,668500,2013,11.75148,14.28339
251500,668500,2014,11.37644,14.8449
251500,668500,2015,9.816278,13.54389
251500,668500,2016,9.985003,14.60125
251500,668500,2017,9.519419,12.503
252500,668500,2012,11.77275,18.50939
252500,668500,2013,12.25261,15.9095
252500,668500,2014,11.98087,16.31595
252500,668500,2015,10.32623,14.93539
252500,668500,2016,10.23044,15.82681
252500,668500,2017,9.778589,13.91742
253500,668500,2012,11.78141,18.55027
253500,668500,2013,12.23898,15.89813
253500,668500,2014,11.80734,15.87562
253500,668500,2015,10.27262,14.75935
253500,668500,2016,10.28489,15.67702
253500,668500,2017,9.883279,13.77184
254500,668500,2012,12.01848,20.08433
254500,668500,2013,12.38481,17.91556
254500,668500,2014,11.94401,18.26
254500,668500,2015,10.4248,17.15726
254500,668500,2016,10.41762,18.29471
254500,668500,2017,10.02805,15.76768
255500,668500,2012,11.55702,20.24667
255500,668500,2013,11.96721,18.97593
255500,668500,2014,11.47588,17.96515
255500,668500,2015,10.09509,17.10877
255500,668500,2016,10.12566,18.15508
255500,668500,2017,9.833013,16.91795
256500,668500,2012,11.50528,18.46894
256500,668500,2013,11.87788,16.73144
256500,668500,2014,11.4026,16.50346
256500,668500,2015,10.31034,15.6803
256500,668500,2016,10.09586,16.49343
256500,668500,2017,9.847934,14.79746
257500,668500,2012,11.59275,18.86936
257500,668500,2013,12.03984,17.25464
257500,668500,2014,11.55258,17.05008
257500,668500,2015,10.23432,15.878
257500,668500,2016,10.06969,16.79206
257500,668500,2017,9.853189,14.97476
258500,668500,2012,11.86118,21.39225
258500,668500,2013,12.43802,19.57976
258500,668500,2014,11.8506,19.40598
258500,668500,2015,10.41801,17.85662
258500,668500,2016,10.21803,18.60551
258500,668500,2017,9.972284,17.57885
259500,668500,2012,11.8744,20.17365
259500,668500,2013,12.32153,18.2508
259500,668500,2014,11.62799,18.4782
259500,668500,2015,10.23175,17.01259
259500,668500,2016,10.32846,17.7269
259500,668500,2017,10.09267,16.28468
260500,668500,2012,11.87318,20.10541
260500,668500,2013,12.3042,18.45917
260500,668500,2014,11.77879,18.428
260500,668500,2015,10.36554,16.93543
260500,668500,2016,10.39941,17.78123
260500,668500,2017,10.14464,16.10771
261500,668500,2012,11.36485,18.12538
261500,668500,2013,11.78024,16.76019
261500,668500,2014,11.23717,16.32543
261500,668500,2015,9.841603,15.08222
261500,668500,2016,10.11173,15.97976
261500,668500,2017,9.833115,14.61966
262500,668500,2012,11.40686,17.40498
262500,668500,2013,11.76617,16.08959
262500,668500,2014,11.24437,15.8428
262500,668500,2015,9.874619,14.54056
262500,668500,2016,10.25773,15.55999
262500,668500,2017,9.968358,13.94254
263500,668500,2012,12.04327,19.23648
263500,668500,2013,12.42104,17.60223
263500,668500,2014,11.97298,18.1079
263500,668500,2015,10.57258,16.54268
263500,668500,2016,10.96286,17.73437
263500,668500,2017,10.74192,16.32644
264500,668500,2012,11.66155,18.48185
264500,668500,2013,12.21618,16.87264
264500,668500,2014,11.7642,17.57146
264500,668500,2015,10.42645,15.98637
264500,668500,2016,10.92609,17.17919
264500,668500,2017,10.7626,16.13728
265500,668500,2012,10.87595,16.6965
265500,668500,2013,11.26398,15.09367
265500,668500,2014,10.84825,15.64064
265500,668500,2015,9.47858,14.21825
265500,668500,2016,9.977679,15.53108
265500,668500,2017,9.721967,13.91611
266500,668500,2012,11.09814,16.15316
266500,668500,2013,11.52585,14.80463
266500,668500,2014,11.05894,15.30214
266500,668500,2015,9.697033,14.34244
266500,668500,2016,10.1858,15.62139
266500,668500,2017,9.919086,13.86072
267500,668500,2012,10.67359,14.3942
267500,668500,2013,10.92374,13.02165
267500,668500,2014,10.44204,13.38936
267500,668500,2015,9.142166,12.26116
267500,668500,2016,9.723547,13.5313
267500,668500,2017,9.470126,11.77897
268500,668500,2012,10.2349,13.6001
268500,668500,2013,10.4573,12.20135
268500,668500,2014,9.989809,12.58453
268500,668500,2015,8.718005,11.53039
268500,668500,2016,9.286144,12.79481
268500,668500,2017,9.006521,10.93455
269500,668500,2012,10.47828,14.05039
